#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
186.59397624  -0.30270019   0.00000000
186.59397624  -0.29588227   0.00000000
187.09397624  -0.29588227   0.00000000
187.09397624  -0.28740087   0.00000000
187.59397624  -0.28740087   0.00000000
187.59397624  -0.27713423   0.00000000
188.09397624  -0.27713423   0.00000000
188.09397624  -0.26495715   0.00000000
188.59397624  -0.26495715   0.00000000
188.59397624  -0.25074688   0.00000000
189.09397624  -0.25074688   0.00000000
189.09397624  -0.23438994   0.00000000
189.59397624  -0.23438994   0.00000000
189.59397624  -0.21579021   0.00000000
190.09397624  -0.21579021   0.00000000
190.09397624  -0.19487776   0.00000000
190.59397624  -0.19487776   0.00000000
190.59397624  -0.17161843   0.00000000
191.09397624  -0.17161843   0.00000000
191.09397624  -0.14602371   0.00000000
191.59397624  -0.14602371   0.00000000
191.59397624  -0.11816041   0.00000000
192.09397624  -0.11816041   0.00000000
192.09397624  -0.08815954   0.00000000
192.59397624  -0.08815954   0.00000000
192.59397624  -0.05622390   0.00000000
193.09397624  -0.05622390   0.00000000
193.09397624  -0.02263343   0.00000000
193.59397624  -0.02263343   0.00000000
193.59397624   0.01225198   0.00000000
194.09397624   0.01225198   0.00000000
194.09397624   0.04799308   0.00000000
194.59397624   0.04799308   0.00000000
194.59397624   0.08407558   0.00000000
195.09397624   0.08407558   0.00000000
195.09397624   0.11991842   0.00000000
195.59397624   0.11991842   0.00000000
195.59397624   0.15488615   0.00000000
196.09397624   0.15488615   0.00000000
196.09397624   0.18830515   0.00000000
196.59397624   0.18830515   0.00000000
196.59397624   0.21948320   0.00000000
197.09397624   0.21948320   0.00000000
197.09397624   0.24773175   0.00000000
197.59397624   0.24773175   0.00000000
197.59397624   0.27238985   0.00000000
198.09397624   0.27238985   0.00000000
198.09397624   0.29284863   0.00000000
198.59397624   0.29284863   0.00000000
198.59397624   0.30857507   0.00000000
199.09397624   0.30857507   0.00000000
199.09397624   0.31913382   0.00000000
199.59397624   0.31913382   0.00000000
199.59397624   0.32420575   0.00000000
200.09397624   0.32420575   0.00000000
200.09397624   0.32360216   0.00000000
200.59397624   0.32360216   0.00000000
200.59397624   0.31727388   0.00000000
201.09397624   0.31727388   0.00000000
201.09397624   0.30531457   0.00000000
201.59397624   0.30531457   0.00000000
201.59397624   0.28795799   0.00000000
202.09397624   0.28795799   0.00000000
202.09397624   0.26556943   0.00000000
202.59397624   0.26556943   0.00000000
202.59397624   0.23863170   0.00000000
203.09397624   0.23863170   0.00000000
203.09397624   0.20772646   0.00000000
203.59397624   0.20772646   0.00000000
203.59397624   0.17351194   0.00000000
204.09397624   0.17351194   0.00000000
204.09397624   0.13669831   0.00000000
204.59397624   0.13669831   0.00000000
204.59397624   0.09802193   0.00000000
205.09397624   0.09802193   0.00000000
205.09397624   0.05821986   0.00000000
205.59397624   0.05821986   0.00000000
205.59397624   0.01800587   0.00000000
206.09397624   0.01800587   0.00000000
206.09397624  -0.02195096   0.00000000
206.59397624  -0.02195096   0.00000000
206.59397624  -0.06104428   0.00000000
207.09397624  -0.06104428   0.00000000
207.09397624  -0.09874437   0.00000000
207.59397624  -0.09874437   0.00000000
207.59397624  -0.13460779   0.00000000
208.09397624  -0.13460779   0.00000000
208.09397624  -0.16828251   0.00000000
208.59397624  -0.16828251   0.00000000
208.59397624  -0.19950899   0.00000000
209.09397624  -0.19950899   0.00000000
209.09397624  -0.22811728   0.00000000
209.59397624  -0.22811728   0.00000000
209.59397624  -0.25402110   0.00000000
210.09397624  -0.25402110   0.00000000
210.09397624  -0.27720930   0.00000000
210.59397624  -0.27720930   0.00000000
210.59397624  -0.29773554   0.00000000
211.09397624  -0.29773554   0.00000000
211.09397624  -0.31570699   0.00000000
211.59397624  -0.31570699   0.00000000
211.59397624  -0.33127260   0.00000000
212.09397624  -0.33127260   0.00000000
212.09397624  -0.34461168   0.00000000
212.59397624  -0.34461168   0.00000000
212.59397624  -0.35592317   0.00000000
213.09397624  -0.35592317   0.00000000
213.09397624  -0.36541602   0.00000000
213.59397624  -0.36541602   0.00000000
213.59397624  -0.37330096   0.00000000
214.09397624  -0.37330096   0.00000000
214.09397624  -0.37978375   0.00000000
214.59397624  -0.37978375   0.00000000
214.59397624  -0.38505989   0.00000000
215.09397624  -0.38505989   0.00000000
215.09397624  -0.38931087   0.00000000
215.59397624  -0.38931087   0.00000000
215.59397624  -0.39270166   0.00000000
216.09397624  -0.39270166   0.00000000
216.09397624  -0.39537938   0.00000000
216.59397624  -0.39537938   0.00000000
216.59397624  -0.39747303   0.00000000
217.09397624  -0.39747303   0.00000000
217.09397624  -0.39909378   0.00000000
217.59397624  -0.39909378   0.00000000
217.59397624  -0.40033606   0.00000000
218.09397624  -0.40033606   0.00000000
218.09397624  -0.40127884   0.00000000
218.59397624  -0.40127884   0.00000000
218.59397624  -0.40198726   0.00000000
219.09397624  -0.40198726   0.00000000
219.09397624  -0.40251431   0.00000000
219.59397624  -0.40251431   0.00000000
219.59397624  -0.40386572   0.00000000
275.59397624  -0.40386572   0.00000000
275.59397624  -0.40386572   0.00000000
285.59397624  -0.40386572   0.00000000
